	mouseSampleTag5	mouseSampleTag6	mouseSampleTag7	mouseSampleTag8	mouseSampleTag9	TagIDs
Aoki_368915	1.66002820386797	-0.428236927986792	0.19776112493287	-0.714776200407024	-0.714776200407024	mouseSampleTag5
Aoki_812626	1.66296414904569	-0.445641250179977	0.195333438045706	-0.706328168455712	-0.706328168455712	mouseSampleTag5
Aoki_654895	1.67114850921651	-0.459561212724684	0.177372781017046	-0.694480038754437	-0.694480038754437	mouseSampleTag5
Aoki_629215	1.67484798862406	-0.46446511383393	0.168561266540728	-0.68947207066543	-0.68947207066543	mouseSampleTag5
Aoki_114257	1.67517682792777	-0.470104293387656	0.169108561840307	-0.687090548190211	-0.687090548190211	mouseSampleTag5
Aoki_139796	1.67397175583045	-0.474669083820591	0.173565110405352	-0.686433891207604	-0.686433891207604	mouseSampleTag5
Aoki_124820	1.68203859719901	-0.451513848934955	0.144893257736485	-0.687709003000269	-0.687709003000269	mouseSampleTag5
Aoki_318214	1.67672209069627	-0.439532358862477	0.156345616943829	-0.69676767438881	-0.69676767438881	mouseSampleTag5
Aoki_377113	1.65502014524619	-0.517333209493213	0.232779090311513	-0.685233013032243	-0.685233013032243	mouseSampleTag5
Aoki_699323	1.65256838240024	-0.521275105146763	0.239712231391054	-0.685502754322264	-0.685502754322264	mouseSampleTag5
Aoki_7791	1.66584958630001	-0.534433859301295	0.207455351825168	-0.669435539411941	-0.669435539411941	mouseSampleTag5
Aoki_251055	1.66423215732194	-0.526950188330233	0.2105488777038	-0.673915423347754	-0.673915423347754	mouseSampleTag5
Aoki_356377	1.66460740292362	-0.52006158717604	0.208375357246721	-0.676460586497149	-0.676460586497149	mouseSampleTag5
Aoki_191296	1.66707406051477	-0.499734431859247	0.197914504064196	-0.68262706635986	-0.68262706635986	mouseSampleTag5
Aoki_257262	1.66463832423784	-0.502444961451058	0.204940613821028	-0.683566988303905	-0.683566988303905	mouseSampleTag5
Aoki_435041	1.67250236469735	-0.4895868999547	0.18108505581167	-0.682000260277157	-0.682000260277157	mouseSampleTag5
Aoki_797218	1.67176911729869	-0.501800833976618	0.185689116867111	-0.677828700094591	-0.677828700094591	mouseSampleTag5
Aoki_272161	1.67046581426527	-0.495372527025435	0.187881747001844	-0.681487517120838	-0.681487517120838	mouseSampleTag5
Aoki_274073	1.66926410589508	-0.496996993602887	0.191470639212509	-0.68186887575235	-0.68186887575235	mouseSampleTag5
Aoki_541458	1.67202069936256	-0.519969416542491	0.188446121826541	-0.670248702323304	-0.670248702323304	mouseSampleTag5
Aoki_785259	1.67266465031552	-0.523321278891324	0.187264215222945	-0.66830379332357	-0.66830379332357	mouseSampleTag5
Aoki_102988	1.67280400162278	-0.513626485124128	0.18516507457743	-0.672171295538042	-0.672171295538042	mouseSampleTag5
Aoki_741942	1.67477562619369	-0.504565685665258	0.178012350977154	-0.674111145752791	-0.674111145752791	mouseSampleTag5
Aoki_830038	1.67397657345636	-0.508342351113078	0.180951784709147	-0.673293003526215	-0.673293003526215	mouseSampleTag5
Aoki_57229	1.68156914351451	-0.522307763844009	0.162249143145492	-0.660755261407997	-0.660755261407997	mouseSampleTag5
Aoki_620662	1.67522921431964	-0.54044377699225	0.182857074035604	-0.658821255681497	-0.658821255681497	mouseSampleTag5
Aoki_698989	1.64530269846458	-0.473101255055199	0.224737263967743	-0.551962495503647	-0.844976211873476	mouseSampleTag5
