p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.1077047179727e-49	0.66429618261223	0.357	0.192	2.63695845036787e-46	3	Irf3
3.34314269949644e-29	0.656325044969421	0.199	0.101	1.24030594151318e-26	3	Prdm1
3.71748786541651e-82	0.603262078571415	0.828	0.578	1.37918799806953e-79	3	Gimap7
6.80657202280292e-86	0.585987479416874	0.967	0.847	2.52523822045988e-83	3	Gzmb
5.14333051082398e-20	0.53852045674833	0.248	0.155	1.9081756195157e-17	3	Tgfb1
1.90604611882448e-67	0.507085893687245	0.928	0.748	7.0714311008388e-65	3	Ybx3
1.21478230352894e-15	0.433088368443989	0.151	0.087	4.50684234609236e-13	3	Mapk8
6.13896928967295e-13	0.425155200474014	0.19	0.124	2.27755760646866e-10	3	Gzma
1.62137750734359e-46	0.400792348050498	0.793	0.59	6.01531055224471e-44	3	Ifng
1.88644018507136e-71	0.397175723551474	1	0.977	6.99869308661474e-69	3	S100a10
4.97906159110696e-06	0.368499312095539	0.112	0.077	0.00184723185030068	3	Slc25a37
7.43075758719077e-26	0.347924642312565	0.373	0.243	2.75681106484778e-23	3	Cxcr4
2.9018107723066e-35	0.346349077056416	0.425	0.265	1.07657179652575e-32	3	Entpd1
4.68026059680265e-41	0.340972256870067	0.613	0.424	1.73637668141378e-38	3	Casp8
5.86310458686731e-23	0.340526613671979	0.465	0.317	2.17521180172777e-20	3	Stat1
1.64030038697354e-37	0.339180550630855	0.517	0.337	6.08551443567185e-35	3	Psen1
5.42393347881954e-10	0.319522635393726	0.194	0.13	2.01227932064205e-07	3	Egr1
2.32600481270232e-34	0.312352660231113	0.777	0.603	8.62947785512562e-32	3	Bax
3.40787495050339e-35	0.286453905252298	0.968	0.88	1.26432160663676e-32	3	Itgb2
3.63804146425214e-18	0.282937961939812	0.655	0.521	1.34971338323754e-15	3	Fosb
7.6933129061943e-22	0.26438021169983	0.648	0.507	2.85421908819808e-19	3	Fasl
3.08971302523836e-32	0.260415154242352	0.459	0.3	1.14628353236343e-29	3	Eomes
6.60384012080608e-43	0.253983369167665	0.743	0.515	2.45002468481906e-40	3	Havcr2
0	5.03793299957794	0.679	0.172	0	4	Xcl1
1.74117846848039e-133	4.810874288064	0.135	0.014	6.45977211806223e-131	4	Csf2
1.056608465481e-190	3.95551065093085	0.173	0.016	3.92001740693453e-188	4	Tnfsf8
8.92614764763631e-145	3.82856782741314	0.115	0.008	3.31160077727307e-142	4	Il1rl1
2.81204604718845e-261	3.76711922366671	0.26	0.027	1.04326908350692e-258	4	Cd200
1.73427295500898e-56	3.18384242441792	0.191	0.063	6.43415266308332e-54	4	Il1r2
8.35794958610463e-282	3.0009545724642	0.516	0.119	3.10079929644482e-279	4	Ccr7
1.34107845071524e-254	2.72803331844161	0.723	0.29	4.97540105215354e-252	4	Tnfrsf4
3.42543892619914e-25	2.66714064871004	0.464	0.35	1.27083784161988e-22	4	Ccl4
1.22376936032418e-66	2.5714262191852	0.358	0.161	4.54018432680269e-64	4	Ccl3
4.56798298431151e-126	2.37363385568196	0.277	0.066	1.69472168717957e-123	4	Bcl6
