p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.7003921698757e-14	0.635778844063164	0.282	0.208	6.30845495023884e-12	2	Cd38
1.03492915050831e-05	0.593369350991823	0.225	0.187	0.00383958714838584	2	Cd86
0.000980582800006538	0.521847181109944	0.185	0.159	0.363796218802426	2	Nod1
1.91544483661642e-30	0.486223976214863	0.664	0.541	7.10630034384693e-28	2	Ccr2
1.1990883062973e-27	0.477449045427663	0.641	0.521	4.44861761636297e-25	2	Itga4
1.42898305814242e-17	0.399646112302438	0.688	0.594	5.30152714570839e-15	2	Gimap7
1.47038683074622e-63	0.302466082443885	1	0.988	5.45513514206846e-61	2	Nkg7
2.71216159810314e-05	0.254349111170026	0.15	0.117	0.0100621195289627	2	Trib2
0	3.69913069696471	0.878	0.147	0	3	Mki67
3.75878351341677e-251	3.69335240122814	0.157	0.01	1.39450868347762e-248	3	Pask
0	3.68548866860941	0.862	0.177	0	3	Top2a
0	3.34869145073881	0.72	0.163	0	3	Ube2c
0	3.2281155717245	0.768	0.126	0	3	Tyms
6.46154271136111e-192	2.3937864074897	0.101	0.004	2.39723234591497e-189	3	Aurkb
0	2.12947337758925	0.802	0.253	0	3	Mcm2
0	2.00989166764476	0.888	0.34	0	3	Mcm4
0	1.96758834608965	0.919	0.501	0	3	Pcna
1.48959858742485e-240	1.65617905740544	0.499	0.149	5.52641075934621e-238	3	Tmem97
2.35340971058989e-55	1.51012269936406	0.119	0.033	8.73115002628849e-53	3	Ada
1.48105372623932e-98	1.30641409011558	0.301	0.111	5.49470932434788e-96	3	Klrg1
6.18741104676146e-150	1.13649996035798	0.589	0.266	2.2955294983485e-147	3	Tfrc
3.95894817834488e-206	0.991478024718502	0.974	0.781	1.46876977416595e-203	3	Hprt
3.12781889966214e-147	0.942930881576636	0.834	0.518	1.16042081177466e-144	3	Gzmk
2.67080502076746e-171	0.882756698435173	0.965	0.724	9.90868662704729e-169	3	Cd48
2.02581499711321e-281	0.823553018642564	1	0.983	7.51577363929001e-279	3	Lgals1
2.00445974584202e-140	0.761159250272709	0.905	0.599	7.43654565707388e-138	3	Rpn2
2.40908424060535e-79	0.752859581548043	0.463	0.235	8.93770253264585e-77	3	Pdia4
1.66786998650331e-112	0.731239630751254	0.662	0.352	6.18779764992729e-110	3	Mapk1
3.38271283651943e-38	0.7277654373285	0.208	0.099	1.25498646234871e-35	3	Lap3
6.76822310079285e-224	0.706101743133059	1	0.996	2.51101077039415e-221	3	Gapdh
1.97439955962513e-104	0.637786619469527	0.972	0.836	7.32502236620923e-102	3	Gzmb
1.32899481385976e-91	0.573074693353599	0.849	0.575	4.9305707594197e-89	3	Gimap7
3.133888138199e-26	0.561172729960598	0.214	0.118	1.16267249927183e-23	3	Gzma
2.86395013644597e-30	0.546759364398133	0.269	0.153	1.06252550062145e-27	3	Tgfb1
1.45320795356238e-55	0.530030340140543	0.369	0.191	5.39140150771642e-53	3	Irf3
2.89862735420228e-82	0.51377802541983	0.942	0.735	1.07539074840905e-79	3	Ybx3
2.66270627186084e-30	0.51082429281659	0.204	0.103	9.8786402686037e-28	3	Prdm1
3.52559177917777e-89	0.433319976008983	1	0.973	1.30799455007495e-86	3	S100a10
3.10086723751949e-51	0.417168400624581	0.456	0.261	1.15042174511973e-48	3	Entpd1
2.24472672962985e-47	0.35994141142136	0.537	0.335	8.32793616692674e-45	3	Psen1
2.10979633153534e-16	0.346826424802218	0.156	0.089	7.82734438999612e-14	3	Mapk8
1.3516156978948e-50	0.336864814686649	0.642	0.426	5.01449423918972e-48	3	Casp8
3.31521305420979e-61	0.306827106537028	0.769	0.501	1.22994404311183e-58	3	Havcr2
1.60750517420546e-44	0.306806782464598	0.98	0.875	5.96384419630227e-42	3	Itgb2
2.24153013917071e-60	0.28911881873317	0.817	0.57	8.31607681632335e-58	3	Ifng
1.42754491799853e-36	0.277144762484953	0.679	0.489	5.29619164577454e-34	3	Fasl
1.18700906973322e-40	0.275099281360564	0.999	0.956	4.40380364871023e-38	3	Ctsd
5.41598206717327e-30	0.25933376178036	0.492	0.315	2.00932934692128e-27	3	Stat1
2.23063878068621e-119	2.87839430555429	0.322	0.109	8.27566987634584e-117	4	Gzma
3.79615535290876e-174	2.27366241679265	0.4	0.12	1.40837363592915e-171	4	Itgax
3.67141920003668e-283	1.17358141105051	0.995	0.979	1.36209652321361e-280	4	Ccl5
3.02947324995935e-24	0.852429463152037	0.613	0.53	1.12393457573492e-21	4	Itga4
3.16100550590302e-48	0.751423672433512	0.778	0.681	1.17273304269002e-45	4	Lgals3
0.000330460514262606	0.424829061250454	0.578	0.552	0.122600850791427	4	Gzmk
0.0100546179604213	0.387846702845352	0.091	0.118	1	4	Prdm1
