p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.82721445701568e-56	0.631778332413433	0.761	0.578	1.41989656355282e-53	2	Gimap7
1.93538018632976e-14	0.547160600408693	0.345	0.261	7.18026049128341e-12	2	Entpd1
3.13993300555885e-38	0.504291747405905	0.677	0.516	1.16491514506233e-35	2	Itga4
5.7428713178374e-15	0.40915111429325	0.608	0.521	2.13060525891767e-12	2	Ccr5
9.85134926679077e-05	0.394460325175332	0.194	0.159	0.0365485057797938	2	Nod1
6.81732972797397e-52	0.359406376484172	0.968	0.84	2.52922932907834e-49	2	Gzmb
2.38741443311512e-06	0.338257365712723	0.301	0.25	0.000885730754685709	2	Il12rb1
1.9234309774343e-11	0.304396705340617	0.606	0.518	7.13592892628127e-09	2	Havcr2
2.49164231903257e-27	0.254779026247897	0.927	0.814	9.24399300361083e-25	2	Lag3
3.10597195376494e-258	4.35067640013418	0.152	0.007	1.15231559484679e-255	3	Pask
0	3.78313947031288	0.821	0.135	0	3	Mki67
0	3.60818497525713	0.781	0.174	0	3	Top2a
0	3.38900947870426	0.709	0.117	0	3	Tyms
0	3.35445913847929	0.697	0.147	0	3	Ube2c
0	2.23424271280273	0.751	0.24	0	3	Mcm2
0	2.09516040651778	0.83	0.329	0	3	Mcm4
0	2.00936375285654	0.892	0.488	0	3	Pcna
1.7141690948193e-111	1.80890090181892	0.293	0.101	6.3595673417796e-109	3	Klrg1
4.89578533477723e-224	1.74161552322893	0.458	0.136	1.81633635920235e-221	3	Tmem97
4.04606254450191e-55	1.685159799431	0.106	0.028	1.50108920401021e-52	3	Ada
4.0967170484757e-146	1.30478560519074	0.548	0.248	1.51988202498449e-143	3	Tfrc
5.2995099446796e-203	1.05461184850385	0.955	0.777	1.96611818947613e-200	3	Hprt
2.52073480087729e-38	0.972923214788571	0.188	0.086	9.35192611125473e-36	3	Lap3
2.21580562042249e-123	0.920272191093217	0.81	0.54	8.22063885176745e-121	3	Gzmk
3.86555519315283e-83	0.896772342039832	0.444	0.221	1.4341209766597e-80	3	Pdia4
7.522160983262e-151	0.868959571716522	0.88	0.588	2.7907217247902e-148	3	Rpn2
1.84767109600976e-142	0.850372211803798	0.939	0.723	6.85485976619619e-140	3	Cd48
1.11178025566344e-95	0.823355775810684	0.613	0.342	4.12470474851135e-93	3	Mapk1
5.20411720570283e-281	0.808975547934638	1	0.986	1.93072748331575e-278	3	Lgals1
3.42486508984223e-259	0.805670776459669	1	0.996	1.27062494833147e-256	3	Gapdh
1.77025627719818e-95	0.674654850985215	0.832	0.569	6.56765078840525e-93	3	Gimap7
1.1255043316132e-102	0.638907251982106	0.967	0.841	4.17562107028497e-100	3	Gzmb
3.93378180381744e-31	0.621333264775397	0.196	0.098	1.45943304921627e-28	3	Prdm1
2.75952904028755e-51	0.598654662749176	0.35	0.184	1.02378527394668e-48	3	Irf3
5.84462658812516e-76	0.544884545598938	0.92	0.739	2.16835646419444e-73	3	Ybx3
1.50015233761967e-18	0.52605938641355	0.237	0.151	5.56556517256897e-16	3	Tgfb1
1.36327849545261e-42	0.464537848837292	0.418	0.25	5.05776321812918e-40	3	Entpd1
3.84619602710528e-52	0.453102003594232	0.781	0.578	1.42693872605606e-49	3	Ifng
3.26033231243303e-85	0.437884072709	1	0.976	1.20958328791265e-82	3	S100a10
5.75017903249847e-43	0.43220513914647	0.511	0.327	2.13331642105693e-40	3	Psen1
7.39167646187182e-29	0.388544960050796	0.26	0.149	2.74231196735444e-26	3	Ccl3
1.12792812048739e-46	0.375917798440282	0.47	0.287	4.18461332700823e-44	3	Eomes
3.18986006476976e-12	0.373865030715763	0.126	0.075	1.18343808402958e-09	3	Tspan32
2.31352641784751e-52	0.346567356956749	0.735	0.499	8.58318301021425e-50	3	Havcr2
4.61574125818947e-14	0.344606772216069	0.144	0.085	1.71244000678829e-11	3	Mapk8
1.84837534085541e-07	0.340795926140618	0.111	0.073	6.85747251457358e-05	3	Slc25a37
2.23637989162006e-37	0.32014254229955	0.769	0.592	8.29696939791043e-35	3	Bax
9.01793357407381e-40	0.307967163949707	0.968	0.876	3.34565335598138e-37	3	Itgb2
6.06383061619156e-39	0.299230231992796	0.598	0.416	2.24968115860707e-36	3	Casp8
1.54959662165775e-41	0.29912131692344	0.997	0.956	5.74900346635025e-39	3	Ctsd
8.23322956027654e-24	0.287265128474847	0.457	0.312	3.0545281668626e-21	3	Stat1
6.15004833201282e-19	0.276028889604589	0.203	0.122	2.28166793117676e-16	3	Glg1
1.90686017382454e-27	0.261027474087014	0.628	0.467	7.07445124488904e-25	3	Tbx21
2.33609845437144e-222	3.42769058536576	0.392	0.101	8.66692526571803e-220	4	Gzma
1.07248176946072e-263	2.42661968966123	0.458	0.114	3.97890736469926e-261	4	Itgax
0	1.16925146098696	0.997	0.978	0	4	Ccl5
0.00528264171226095	1.04238911072138	0.104	0.084	1	4	Ifitm2
6.67414678684e-99	0.997805121163223	0.842	0.678	2.47610845791764e-96	4	Lgals3
1.00408903865847e-61	0.976757861213063	0.694	0.519	3.72517033342291e-59	4	Itga4
3.07571265178021e-12	0.731796648492821	0.185	0.12	1.14108939381046e-09	4	Klrg1
5.61983963673742e-17	0.45858580139064	0.67	0.565	2.08496050522958e-14	4	Gzmk
6.70507507515997e-05	0.44208493041884	0.442	0.403	0.0248758285288435	4	Il18rap
1.01236721413936e-05	0.422871121463176	0.29	0.238	0.00375588236445703	4	Arl4c
5.51734040696213e-12	0.384936275965538	0.651	0.565	2.04693329098295e-09	4	Ccr2
0.00877052196937788	0.352485214074999	0.535	0.52	1	4	Fasl
0.000100011909916989	0.335643735218281	0.303	0.256	0.0371044185792029	4	Cxcr4
9.76546094178324e-07	0.311150059604451	0.643	0.594	0.000362298600940158	4	Cxcr3
0	4.99510602680251	0.658	0.166	0	5	Xcl1
1.57547472664597e-110	4.59640024112993	0.117	0.014	5.84501123585656e-108	5	Csf2
2.52220674239737e-195	3.91207868819457	0.164	0.014	9.35738701429423e-193	5	Tnfsf8
1.79254787428794e-258	3.73450549232173	0.233	0.023	6.65035261360824e-256	5	Cd200
1.53507881185723e-127	3.69794582440166	0.102	0.008	5.69514239199031e-125	5	Il1rl1
2.3872243812482e-64	3.65738989817506	0.163	0.047	8.85660245443083e-62	5	Il1r2
0	2.99954506925096	0.505	0.11	0	5	Ccr7
0	2.95530866989935	0.708	0.265	0	5	Tnfrsf4
6.10375328555813e-143	2.57739602879753	0.274	0.063	2.26449246894207e-140	5	Bcl6
3.80288119720856e-200	2.48047752227231	0.368	0.085	1.41086892416438e-197	5	Cd9
2.25996474312955e-204	2.43843331289566	0.649	0.285	8.38446919701064e-202	5	Irf8
